Speaker,start,end,time,ITL,ICL
Music,0:00:00,0:01:39,0:01:39,,
Music,0:02:03,0:03:48,0:01:45,,
Music,0:04:07,0:04:17,0:00:10,,
Music,0:04:27,0:04:29,0:00:02,,
Music,0:04:36,0:04:50,0:00:14,,
Music,0:04:56,0:05:09,0:00:13,,
Music,0:05:11,0:05:20,0:00:09,,
Music,0:05:21,0:05:27,0:00:06,,
Music,0:05:28,0:05:31,0:00:03,,
Music,0:05:36,0:05:44,0:00:08,,
Music,0:05:51,0:05:55,0:00:04,,
Music,0:05:58,0:06:05,0:00:07,,
Music,0:06:19,0:06:22,0:00:03,,
Music,0:06:25,0:06:39,0:00:14,,
Music,0:06:41,0:06:44,0:00:03,,
Music,0:06:44,0:06:54,0:00:10,,
Music,0:07:00,0:07:11,0:00:11,,
Music,0:07:16,0:07:35,0:00:19,,
Music,0:07:37,0:07:45,0:00:08,,
Music,0:07:48,0:07:56,0:00:08,,
Music,0:08:00,0:08:09,0:00:09,,
Music,0:08:11,0:08:44,0:00:33,,
Music,0:08:48,0:09:06,0:00:18,,
Music,0:09:12,0:09:17,0:00:05,,
Music,0:09:21,0:09:29,0:00:08,,
Music,0:09:35,0:09:42,0:00:07,,
Music,0:09:46,0:09:56,0:00:10,,
Music,0:09:58,0:10:11,0:00:13,,
Music,0:10:17,0:10:24,0:00:07,,
Music,0:10:26,0:10:31,0:00:05,,
Music,0:10:36,0:10:41,0:00:05,,
Music,0:10:50,0:10:52,0:00:02,,
Music,0:10:54,0:10:58,0:00:04,,
Music,0:11:03,0:11:15,0:00:12,,
Music,0:11:15,0:11:22,0:00:07,,
Music,0:11:25,0:11:29,0:00:04,,
Music,0:11:39,0:11:55,0:00:16,,
Music,0:12:01,0:12:03,0:00:02,,
Music,0:12:05,0:12:19,0:00:14,,
Music,0:12:21,0:12:22,0:00:01,,
Music,0:12:23,0:12:29,0:00:06,,
Music,0:12:32,0:12:55,0:00:23,,
Music,0:13:02,0:13:03,0:00:01,,
Music,0:13:03,0:13:04,0:00:01,,
Music,0:13:06,0:13:13,0:00:07,,
Music,0:13:18,0:13:32,0:00:14,,
Music,0:13:34,0:13:59,0:00:25,,
Music,0:14:12,0:14:15,0:00:03,,
Music,0:14:16,0:14:37,0:00:21,,
Music,0:14:45,0:14:49,0:00:04,,
Music,0:14:51,0:14:54,0:00:03,,
Music,0:15:16,0:15:29,0:00:13,,
Music,0:15:56,0:15:58,0:00:02,,
Music,0:16:02,0:16:11,0:00:09,,
Music,0:16:12,0:16:22,0:00:10,,
Music,0:16:28,0:16:45,0:00:17,,
Music,0:16:54,0:17:02,0:00:08,,
Music,0:17:29,0:17:34,0:00:05,,
