Speaker,start,end,time,ITL,ICL
Music,0:00:15,0:00:23,0:00:08,,
Music,0:00:33,0:02:22,0:01:49,,
Music,0:02:41,0:02:49,0:00:08,,
Music,0:02:50,0:03:01,0:00:11,,
Music,0:03:02,0:03:08,0:00:06,,
Music,0:03:14,0:03:16,0:00:02,,
Music,0:03:17,0:03:18,0:00:01,,
Music,0:04:17,0:04:30,0:00:13,,
Music,0:04:51,0:04:55,0:00:04,,
Music,0:05:06,0:05:35,0:00:29,,
Music,0:05:44,0:05:49,0:00:05,,
Music,0:05:58,0:06:04,0:00:06,,
Music,0:06:14,0:06:33,0:00:19,,
Music,0:06:39,0:06:50,0:00:11,,
Music,0:07:26,0:07:58,0:00:32,,
Music,0:08:06,0:08:18,0:00:12,,
Music,0:08:21,0:08:49,0:00:28,,
Music,0:08:50,0:08:57,0:00:07,,
Music,0:09:06,0:09:16,0:00:10,,
Music,0:09:18,0:09:24,0:00:06,,
Music,0:09:30,0:09:46,0:00:16,,
Music,0:09:51,0:09:53,0:00:02,,
Music,0:09:55,0:10:03,0:00:08,,
Music,0:10:11,0:10:16,0:00:05,,
Music,0:10:18,0:10:29,0:00:11,,
Music,0:10:30,0:10:31,0:00:01,,
Music,0:10:31,0:10:47,0:00:16,,
Music,0:10:47,0:10:48,0:00:01,,
Music,0:10:48,0:10:59,0:00:11,,
Music,0:11:01,0:11:03,0:00:02,,
Music,0:11:04,0:11:17,0:00:13,,
Music,0:11:27,0:11:34,0:00:07,,
Music,0:11:38,0:11:45,0:00:07,,
Music,0:11:48,0:11:57,0:00:09,,
Music,0:12:01,0:12:04,0:00:03,,
Music,0:12:19,0:12:29,0:00:10,,
Music,0:12:31,0:12:37,0:00:06,,
Music,0:12:38,0:12:40,0:00:02,,
Music,0:12:42,0:12:43,0:00:01,,
Music,0:12:44,0:13:11,0:00:27,,
Music,0:13:24,0:13:28,0:00:04,,
Music,0:13:30,0:13:33,0:00:03,,
Music,0:13:38,0:13:42,0:00:04,,
Music,0:13:42,0:13:47,0:00:05,,
Music,0:14:03,0:14:17,0:00:14,,
Music,0:14:18,0:14:20,0:00:02,,
Music,0:14:21,0:14:24,0:00:03,,
Music,0:14:25,0:14:29,0:00:04,,
Music,0:14:40,0:14:43,0:00:03,,
Music,0:14:51,0:15:15,0:00:24,,
Music,0:15:25,0:15:29,0:00:04,,
Music,0:15:31,0:15:37,0:00:06,,
Music,0:15:38,0:15:39,0:00:01,,
Music,0:15:42,0:15:47,0:00:05,,
Music,0:15:49,0:15:49,0:00:00,,
Music,0:15:54,0:16:08,0:00:14,,
Music,0:16:09,0:16:37,0:00:28,,
