Speaker,start,end,time,ITL,ICL
Music,0:00:05,0:00:11,0:00:06,,
Music,0:00:12,0:00:18,0:00:06,,
Music,0:00:19,0:00:25,0:00:06,,
Music,0:00:26,0:00:27,0:00:01,,
Music,0:00:27,0:00:30,0:00:03,,
Music,0:00:32,0:00:46,0:00:14,,
Music,0:00:47,0:01:28,0:00:41,,
Music,0:01:28,0:01:30,0:00:02,,
Music,0:01:31,0:01:32,0:00:01,,
Music,0:01:37,0:02:45,0:01:08,,
Music,0:02:46,0:03:42,0:00:56,,
Music,0:03:45,0:04:00,0:00:15,,
Music,0:04:00,0:04:04,0:00:04,,
Music,0:04:04,0:04:33,0:00:29,,
Music,0:04:33,0:04:37,0:00:04,,
Music,0:04:38,0:05:29,0:00:51,,
Music,0:05:30,0:05:59,0:00:29,,
Music,0:06:00,0:07:13,0:01:13,,
Music,0:07:14,0:07:17,0:00:03,,
Music,0:07:17,0:07:19,0:00:02,,
Music,0:07:21,0:07:22,0:00:01,,
Music,0:07:40,0:07:43,0:00:03,,
Music,0:07:49,0:08:00,0:00:11,,
Music,0:08:08,0:08:10,0:00:02,,
Music,0:08:15,0:08:18,0:00:03,,
Music,0:08:20,0:08:21,0:00:01,,
Music,0:08:34,0:09:09,0:00:35,,
Music,0:09:20,0:09:55,0:00:35,,
Music,0:10:48,0:11:00,0:00:12,,
Music,0:11:01,0:11:03,0:00:02,,
Music,0:11:10,0:11:13,0:00:03,,
Music,0:11:18,0:11:33,0:00:15,,
Music,0:11:36,0:11:48,0:00:12,,
Music,0:12:05,0:12:37,0:00:32,,
Music,0:12:43,0:12:47,0:00:04,,
Music,0:12:48,0:13:44,0:00:56,,
Music,0:13:45,0:14:23,0:00:38,,
Music,0:14:47,0:15:22,0:00:35,,
Music,0:15:39,0:16:33,0:00:54,,
Music,0:16:34,0:19:13,0:02:39,,
Music,0:19:14,0:19:26,0:00:12,,
Music,0:19:27,0:19:31,0:00:04,,
Music,0:19:34,0:19:41,0:00:07,,
Music,0:20:02,0:20:46,0:00:44,,
Music,0:20:50,0:21:07,0:00:17,,
Music,0:21:08,0:21:39,0:00:31,,
Music,0:21:45,0:21:47,0:00:02,,
Music,0:21:53,0:22:17,0:00:24,,
Music,0:22:20,0:23:02,0:00:42,,
Music,0:23:08,0:23:18,0:00:10,,
Music,0:23:21,0:23:25,0:00:04,,
Music,0:23:25,0:23:59,0:00:34,,
Music,0:23:59,0:24:17,0:00:18,,
Music,0:24:19,0:24:28,0:00:09,,
Music,0:24:45,0:25:07,0:00:22,,
S-Speech,0:00:00,0:00:01,0:00:01,,
S-Speech,0:07:22,0:07:28,0:00:06,,
S-Speech,0:07:33,0:07:36,0:00:03,,
S-Speech,0:07:44,0:07:48,0:00:04,,
S-Speech,0:08:12,0:08:14,0:00:02,,
S-Speech,0:08:17,0:08:31,0:00:14,,
S-Speech,0:08:33,0:08:34,0:00:01,,
S-Speech,0:08:38,0:08:40,0:00:02,,
S-Speech,0:08:53,0:08:55,0:00:02,,
S-Speech,0:09:10,0:09:11,0:00:01,,
S-Speech,0:09:59,0:10:05,0:00:06,,
S-Speech,0:10:07,0:10:09,0:00:02,,
S-Speech,0:10:11,0:10:15,0:00:04,,
S-Speech,0:10:18,0:10:20,0:00:02,,
S-Speech,0:10:27,0:10:29,0:00:02,,
S-Speech,0:10:31,0:10:44,0:00:13,,
S-Speech,0:11:02,0:11:05,0:00:03,,
S-Speech,0:11:06,0:11:08,0:00:02,,
S-Speech,0:11:09,0:11:11,0:00:02,,
S-Speech,0:11:12,0:11:16,0:00:04,,
S-Speech,0:11:20,0:11:23,0:00:03,,
S-Speech,0:11:30,0:11:31,0:00:01,,
S-Speech,0:12:00,0:12:05,0:00:05,,
S-Speech,0:12:08,0:12:09,0:00:01,,
S-Speech,0:12:22,0:12:24,0:00:02,,
S-Speech,0:12:36,0:12:47,0:00:11,,
S-Speech,0:12:53,0:12:55,0:00:02,,
S-Speech,0:15:24,0:15:27,0:00:03,,
S-Speech,0:15:55,0:15:57,0:00:02,,
S-Speech,0:18:13,0:18:15,0:00:02,,
S-Speech,0:19:45,0:19:49,0:00:04,,
S-Speech,0:19:58,0:20:02,0:00:04,,
S-Speech,0:20:27,0:20:28,0:00:01,,
S-Speech,0:20:45,0:20:46,0:00:01,,
S-Speech,0:20:49,0:20:50,0:00:01,,
S-Speech,0:20:54,0:20:58,0:00:04,,
S-Speech,0:21:04,0:21:06,0:00:02,,
S-Speech,0:21:22,0:21:23,0:00:01,,
S-Speech,0:21:41,0:21:44,0:00:03,,
S-Speech,0:21:47,0:21:49,0:00:02,,
S-Speech,0:21:51,0:21:53,0:00:02,,
S-Speech,0:22:26,0:22:28,0:00:02,,
S-Speech,0:23:03,0:23:12,0:00:09,,
S-Speech,0:23:14,0:23:16,0:00:02,,
S-Speech,0:23:19,0:23:21,0:00:02,,
S-Speech,0:23:55,0:23:58,0:00:03,,
S-Speech,0:24:12,0:24:15,0:00:03,,
S-Speech,0:24:18,0:24:20,0:00:02,,
S-Speech,0:24:23,0:24:28,0:00:05,,
S-Speech,0:24:33,0:24:42,0:00:09,,
S-Speech,0:24:56,0:24:57,0:00:01,,
S-Speech,0:25:07,0:25:14,0:00:07,,
T-Speech,0:00:00,0:00:01,0:00:01,Other,Giving Subjective Information
T-Speech,0:07:20,0:07:24,0:00:04,Other,Asking Question
T-Speech,0:07:28,0:07:41,0:00:13,Musical Expression,Giving Subjective Information
T-Speech,0:07:43,0:07:48,0:00:05,Musical Expression,Giving Subjective Information
