Speaker,start,end,time,ITL,ICL
Music,0:00:03,0:00:33,0:00:30,,
Music,0:00:45,0:01:21,0:00:36,,
Music,0:01:22,0:01:30,0:00:08,,
Music,0:01:30,0:01:51,0:00:21,,
Music,0:01:52,0:02:43,0:00:51,,
Music,0:02:59,0:03:04,0:00:05,,
Music,0:03:05,0:03:16,0:00:11,,
Music,0:03:31,0:03:35,0:00:04,,
Music,0:03:36,0:03:45,0:00:09,,
Music,0:03:48,0:04:02,0:00:14,,
Music,0:04:05,0:04:09,0:00:04,,
Music,0:04:15,0:04:16,0:00:01,,
Music,0:04:20,0:04:31,0:00:11,,
Music,0:04:34,0:04:52,0:00:18,,
Music,0:04:56,0:05:08,0:00:12,,
Music,0:05:13,0:05:22,0:00:09,,
Music,0:05:25,0:05:27,0:00:02,,
Music,0:05:27,0:05:30,0:00:03,,
Music,0:05:31,0:05:34,0:00:03,,
Music,0:05:35,0:05:38,0:00:03,,
Music,0:05:39,0:05:48,0:00:09,,
Music,0:05:53,0:06:14,0:00:21,,
Music,0:06:20,0:06:33,0:00:13,,
Music,0:06:35,0:06:36,0:00:01,,
Music,0:06:37,0:07:08,0:00:31,,
Music,0:07:15,0:07:31,0:00:16,,
Music,0:07:34,0:07:45,0:00:11,,
Music,0:07:50,0:08:06,0:00:16,,
Music,0:08:11,0:08:16,0:00:05,,
Music,0:08:18,0:08:22,0:00:04,,
Music,0:08:28,0:08:43,0:00:15,,
Music,0:08:43,0:08:59,0:00:16,,
Music,0:09:07,0:09:13,0:00:06,,
Music,0:09:36,0:09:54,0:00:18,,
Music,0:09:58,0:10:09,0:00:11,,
Music,0:10:09,0:10:15,0:00:06,,
Music,0:10:21,0:10:26,0:00:05,,
Music,0:10:28,0:11:14,0:00:46,,
Music,0:11:17,0:11:25,0:00:08,,
Music,0:11:28,0:11:38,0:00:10,,
Music,0:11:39,0:11:49,0:00:10,,
Music,0:11:54,0:11:55,0:00:01,,
Music,0:11:59,0:12:03,0:00:04,,
Music,0:12:04,0:12:24,0:00:20,,
Music,0:12:27,0:12:33,0:00:06,,
Music,0:12:34,0:12:38,0:00:04,,
Music,0:12:40,0:12:54,0:00:14,,
Music,0:12:58,0:13:15,0:00:17,,
Music,0:13:24,0:13:37,0:00:13,,
Music,0:13:39,0:13:40,0:00:01,,
Music,0:13:40,0:13:46,0:00:06,,
Music,0:13:47,0:13:54,0:00:07,,
Music,0:13:54,0:14:05,0:00:11,,
Music,0:14:17,0:14:19,0:00:02,,
Music,0:14:19,0:14:22,0:00:03,,
Music,0:14:23,0:14:25,0:00:02,,
Music,0:14:27,0:14:36,0:00:09,,
Music,0:14:36,0:14:41,0:00:05,,
Music,0:14:47,0:14:48,0:00:01,,
