Speaker,start,end,time,ITL,ICL
Music,0:00:03,0:00:59,0:00:56,,
Music,0:01:05,0:01:18,0:00:13,,
Music,0:01:19,0:01:19,0:00:00,,
Music,0:01:27,0:01:30,0:00:03,,
Music,0:01:34,0:02:16,0:00:42,,
Music,0:02:23,0:03:30,0:01:07,,
Music,0:03:33,0:03:48,0:00:15,,
Music,0:03:52,0:04:16,0:00:24,,
Music,0:04:19,0:04:36,0:00:17,,
Music,0:04:44,0:04:46,0:00:02,,
S-Speech,0:01:03,0:01:05,0:00:02,,
S-Speech,0:01:15,0:01:17,0:00:02,,
S-Speech,0:01:58,0:02:00,0:00:02,,
S-Speech,0:03:26,0:03:28,0:00:02,,
S-Speech,0:03:32,0:03:36,0:00:04,,
S-Speech,0:03:43,0:03:47,0:00:04,,
S-Speech,0:03:48,0:03:50,0:00:02,,
S-Speech,0:03:53,0:03:55,0:00:02,,
S-Speech,0:04:07,0:04:09,0:00:02,,
S-Speech,0:04:44,0:04:46,0:00:02,,
T-Speech,0:01:00,0:01:03,0:00:03,Other,"Asking Question
"
T-Speech,0:01:05,0:01:07,0:00:02,Other,"Asking Question
"
T-Speech,0:01:14,0:01:15,0:00:01,Other,"Asking Question
"
T-Speech,0:01:20,0:01:30,0:00:10,Musical Expression,"Giving Practice
"
T-Speech,0:01:35,0:01:37,0:00:02,Musical Expression,"Giving Practice
"
T-Speech,0:01:56,0:01:58,0:00:02,Other,"Giving Subjective Information
"
T-Speech,0:02:26,0:02:28,0:00:02,Other,"Giving Subjective Information
"
T-Speech,0:03:28,0:03:30,0:00:02,Technique,"Asking Question
"
T-Speech,0:03:37,0:03:39,0:00:02,Technique,"Asking Question
"
T-Speech,0:03:55,0:03:59,0:00:04,Technique,"Giving Practice
"
T-Speech,0:04:09,0:04:11,0:00:02,Other,"Asking Question
"
T-Speech,0:04:38,0:04:44,0:00:06,Technique,"Giving Practice
"
