Speaker,start,end,time,ITL,ICL
Music,0:00:32,0:00:32,0:00:00,,
Music,0:00:35,0:01:37,0:01:02,,
Music,0:02:11,0:02:18,0:00:07,,
Music,0:02:26,0:03:02,0:00:36,,
Music,0:03:10,0:03:15,0:00:05,,
Music,0:03:22,0:03:26,0:00:04,,
Music,0:03:35,0:04:02,0:00:27,,
Music,0:04:04,0:04:30,0:00:26,,
Music,0:04:46,0:04:50,0:00:04,,
Music,0:04:54,0:04:55,0:00:01,,
Music,0:05:02,0:05:11,0:00:09,,
Music,0:05:21,0:05:41,0:00:20,,
Music,0:05:53,0:06:12,0:00:19,,
Music,0:06:12,0:06:29,0:00:17,,
Music,0:06:33,0:06:36,0:00:03,,
Music,0:06:42,0:06:54,0:00:12,,
Music,0:07:09,0:07:25,0:00:16,,
Music,0:07:28,0:07:48,0:00:20,,
Music,0:08:05,0:08:15,0:00:10,,
Music,0:08:23,0:08:25,0:00:02,,
Music,0:08:26,0:08:35,0:00:09,,
Music,0:08:54,0:08:55,0:00:01,,
Music,0:08:56,0:08:56,0:00:00,,
Music,0:08:57,0:08:59,0:00:02,,
Music,0:09:10,0:09:41,0:00:31,,
Music,0:09:43,0:09:53,0:00:10,,
Music,0:09:58,0:10:03,0:00:05,,
Music,0:10:11,0:10:33,0:00:22,,
Music,0:10:35,0:10:45,0:00:10,,
Music,0:10:46,0:10:48,0:00:02,,
Music,0:10:57,0:11:08,0:00:11,,
Music,0:11:09,0:11:16,0:00:07,,
Music,0:11:42,0:11:48,0:00:06,,
Music,0:11:56,0:11:57,0:00:01,,
Music,0:11:59,0:12:10,0:00:11,,
Music,0:12:19,0:12:31,0:00:12,,
Music,0:12:35,0:12:43,0:00:08,,
Music,0:12:48,0:12:51,0:00:03,,
Music,0:12:52,0:12:53,0:00:01,,
Music,0:12:55,0:12:59,0:00:04,,
Music,0:13:00,0:13:06,0:00:06,,
Music,0:13:20,0:13:25,0:00:05,,
Music,0:13:28,0:13:31,0:00:03,,
Music,0:13:33,0:13:39,0:00:06,,
Music,0:13:40,0:13:44,0:00:04,,
Music,0:13:45,0:13:46,0:00:01,,
Music,0:13:57,0:13:58,0:00:01,,
Music,0:14:06,0:14:08,0:00:02,,
Music,0:14:08,0:14:09,0:00:01,,
Music,0:14:11,0:14:14,0:00:03,,
Music,0:14:24,0:14:26,0:00:02,,
Music,0:14:34,0:14:35,0:00:01,,
Music,0:14:35,0:15:20,0:00:45,,
