labels,start,stop
speech,0.00,0.34
noEnergy,0.34,0.80
speech,0.80,3.22
noEnergy,3.22,4.02
music,4.02,14.66
noEnergy,14.66,15.04
music,15.04,46.60
speech,46.60,49.26
music,49.26,80.24
noEnergy,80.24,82.24
music,82.24,111.72
noEnergy,111.72,112.40
speech,112.40,119.36
noEnergy,119.36,120.40
music,120.40,172.12
speech,172.12,174.18
noEnergy,174.18,174.96
noise,174.96,175.24
noEnergy,175.24,177.24
music,177.24,220.66
noEnergy,220.66,221.34
music,221.34,228.30
speech,228.30,231.20
music,231.20,232.22
noEnergy,232.22,232.98
music,232.98,259.52
noEnergy,259.52,260.80
speech,260.80,265.20
music,265.20,308.04
noEnergy,308.04,308.52
speech,308.52,310.52
music,310.52,354.62
speech,354.62,355.90
noEnergy,355.90,356.44
speech,356.44,358.64
music,358.64,467.06
speech,467.06,474.46
noEnergy,474.46,475.26
speech,475.26,476.50
noEnergy,476.50,478.64
speech,478.64,479.76
noEnergy,479.76,480.24
speech,480.24,486.38
noEnergy,486.38,487.60
music,487.60,530.30
speech,530.30,534.10
music,534.10,541.68
speech,541.68,544.98
music,544.98,667.04
speech,667.04,669.62
music,669.62,692.32
noEnergy,692.32,692.84
music,692.84,714.76
speech,714.76,717.12
noEnergy,717.12,717.78
music,717.78,719.64
speech,719.64,737.34
noEnergy,737.34,737.74
noise,737.74,740.30
speech,740.30,743.06
music,743.06,845.60
speech,845.60,849.22
noEnergy,849.22,851.08
music,851.08,857.22
speech,857.22,864.56
music,864.56,900.94
speech,900.94,903.40
noEnergy,903.40,903.90
speech,903.90,909.58
music,909.58,955.44
noEnergy,955.44,956.00
music,956.00,1011.60
speech,1011.60,1013.88
noEnergy,1013.88,1015.46
speech,1015.46,1017.26
music,1017.26,1137.50
speech,1137.50,1138.84
noEnergy,1138.84,1139.88
music,1139.88,1179.96
speech,1179.96,1185.12
noEnergy,1185.12,1185.54
speech,1185.54,1195.26
music,1195.26,1206.08
speech,1206.08,1211.90
music,1211.90,1215.78
noEnergy,1215.78,1216.22
speech,1216.22,1217.86
music,1217.86,1236.82
noEnergy,1236.82,1237.40
music,1237.40,1246.42
noEnergy,1246.42,1247.08
music,1247.08,1271.50
noEnergy,1271.50,1272.38
music,1272.38,1277.22
noEnergy,1277.22,1278.12
music,1278.12,1294.94
noEnergy,1294.94,1295.40
music,1295.40,1320.30
speech,1320.30,1322.24
music,1322.24,1369.12
noEnergy,1369.12,1371.32
speech,1371.32,1381.58
noEnergy,1381.58,1382.40
music,1382.40,1391.50
speech,1391.50,1397.82
noEnergy,1397.82,1398.34
music,1398.34,1485.94
noEnergy,1485.94,1486.90
music,1486.90,1495.56
noise,1495.56,1497.22
speech,1497.22,1498.60
noEnergy,1498.60,1499.42
music,1499.42,1502.36
noEnergy,1502.36,1502.92
music,1502.92,1548.06
speech,1548.06,1553.48
noEnergy,1553.48,1554.48
speech,1554.48,1555.76
music,1555.76,1586.08
speech,1586.08,1590.76
music,1590.76,1605.36
speech,1605.36,1608.60
noEnergy,1608.60,1609.00
speech,1609.00,1614.70
music,1614.70,1663.16
noEnergy,1663.16,1663.56
music,1663.56,1678.44
speech,1678.44,1685.08
noEnergy,1685.08,1685.54
music,1685.54,1688.86
noise,1688.86,1690.74
noEnergy,1690.74,1691.42
music,1691.42,1716.92
noEnergy,1716.92,1717.34
music,1717.34,1727.40
noEnergy,1727.40,1727.82
music,1727.82,1745.42
noEnergy,1745.42,1746.00
music,1746.00,1783.72
speech,1783.72,1788.32
music,1788.32,1795.52
noEnergy,1795.52,1795.98
music,1795.98,1796.50
noEnergy,1796.50,1797.52
music,1797.52,1800.06
noEnergy,1800.06,1802.00
music,1802.00,1823.00
speech,1823.00,1825.82
