labels,start,stop
noEnergy,0,0.62
speech,0.62,3.1
noEnergy,3.1,3.5
speech,3.5,8.84
noEnergy,8.84,10.2
speech,10.2,17.42
noEnergy,17.42,21.68
music,21.68,92.52
noEnergy,92.52,93.46
speech,93.46,98.66
noEnergy,98.66,99.58
speech,99.58,111.76
noEnergy,111.76,113.12
music,113.12,118.44
speech,118.44,130.36
noise,130.36,132.44
speech,132.44,134.76
music,134.76,145.78
speech,145.78,152.08
noEnergy,152.08,152.68
music,152.68,153.58
speech,153.58,158.46
noEnergy,158.46,159.24
music,159.24,169.42
speech,169.42,174.58
noEnergy,174.58,179.46
music,179.46,221.08
speech,221.08,224.16
noEnergy,224.16,224.82
speech,224.82,226.86
music,226.86,251.2
noEnergy,251.2,251.78
music,251.78,254.18
noise,254.18,257
music,257,282.12
speech,282.12,286.4
music,286.4,295.7
speech,295.7,299.4
music,299.4,338.64
speech,338.64,341.06
noEnergy,341.06,342.34
speech,342.34,344.7
noEnergy,344.7,345.22
noise,345.22,346.12
music,346.12,383.58
noEnergy,383.58,384.26
music,384.26,416.84
speech,416.84,421.08
music,421.08,461.44
noise,461.44,462.4
noEnergy,462.4,462.88
music,462.88,488.68
speech,488.68,492.8
music,492.8,527.52
noise,527.52,531.3
music,531.3,576.2
noEnergy,576.2,576.78
music,576.78,612.38
noEnergy,612.38,612.94
noise,612.94,613.4
noEnergy,613.4,613.94
music,613.94,663.08
noEnergy,663.08,664.18
music,664.18,669.54
speech,669.54,672.66
music,672.66,761.66
noEnergy,761.66,762.98
music,762.98,790.68
speech,790.68,799.34
noEnergy,799.34,799.78
noise,799.78,800.1
noEnergy,800.1,801.96
music,801.96,804.16
noEnergy,804.16,805.36
noise,805.36,809.78
speech,809.78,812.14
music,812.14,817.54
speech,817.54,818.96
noEnergy,818.96,819.54
speech,819.54,820.44
noEnergy,820.44,821.24
music,821.24,856.2
noEnergy,856.2,858.02
music,858.02,890.38
noEnergy,890.38,891.3
noise,891.3,891.96
music,891.96,993.7
noEnergy,993.7,996.08
noise,996.08,997.64
music,997.64,1000.06
speech,1000.06,1003.62
music,1003.62,1045.34
noEnergy,1045.34,1047.18
speech,1047.18,1053.08
music,1053.08,1059.8
speech,1059.8,1065.52
music,1065.52,1071.82
speech,1071.82,1076.9
music,1076.9,1084.92
speech,1084.92,1091.26
music,1091.26,1103.86
speech,1103.86,1110.38
music,1110.38,1119.38
noEnergy,1119.38,1120.04
speech,1120.04,1120.86
music,1120.86,1139.02
speech,1139.02,1147.06
music,1147.06,1235.98
speech,1235.98,1237.46
noEnergy,1237.46,1238.04
music,1238.04,1283.14
noEnergy,1283.14,1283.58
music,1283.58,1341.62
speech,1341.62,1347.4
music,1347.4,1356.58
speech,1356.58,1361.84
noEnergy,1361.84,1362.8
speech,1362.8,1364.54
noEnergy,1364.54,1365.34
speech,1365.34,1366.24
noEnergy,1366.24,1366.72
speech,1366.72,1368.38
music,1368.38,1401.74
noEnergy,1401.74,1402.42
music,1402.42,1405.08
speech,1405.08,1411.44
music,1411.44,1414.14
speech,1414.14,1417.06
noEnergy,1417.06,1417.5
noise,1417.5,1420.24
music,1420.24,1422.24
noEnergy,1422.24,1423.28
noise,1423.28,1423.58
noEnergy,1423.58,1425.12
music,1425.12,1442.14
noEnergy,1442.14,1443.48
music,1443.48,1447.6
noEnergy,1447.6,1448
music,1448,1511.22
speech,1511.22,1516.24
music,1516.24,1533.58
speech,1533.58,1536.96
music,1536.96,1543.92
speech,1543.92,1545.82
music,1545.82,1591.14
noEnergy,1591.14,1591.6
music,1591.6,1613.62
speech,1613.62,1623.78
noEnergy,1623.78,1624.24
speech,1624.24,1626.46
music,1626.46,1712.42
speech,1712.42,1723.26
music,1723.26,1732.36
noise,1732.36,1734.2
speech,1734.2,1736.1
