labels,start,stop
speech,0.00,16.08
music,16.08,18.76
noise,18.76,22.54
music,22.54,150.44
noise,150.44,152.80
music,152.80,156.06
noise,156.06,158.82
music,158.82,208.40
speech,208.40,212.18
noise,212.18,216.22
speech,216.22,219.66
noise,219.66,229.68
music,229.68,234.68
noise,234.68,239.92
music,239.92,256.04
noise,256.04,259.58
music,259.58,266.46
speech,266.46,274.44
music,274.44,324.58
noise,324.58,334.08
music,334.08,372.44
speech,372.44,377.56
music,377.56,387.48
speech,387.48,391.38
music,391.38,431.62
speech,431.62,436.20
music,436.20,515.24
speech,515.24,519.80
music,519.80,569.20
noise,569.20,577.70
music,577.70,590.76
speech,590.76,594.82
music,594.82,624.46
noise,624.46,631.32
music,631.32,638.00
speech,638.00,642.58
music,642.58,713.90
speech,713.90,715.10
noise,715.10,718.34
speech,718.34,720.92
music,720.92,786.04
noise,786.04,791.18
music,791.18,810.48
noise,810.48,831.46
music,831.46,836.14
noise,836.14,851.58
music,851.58,895.38
speech,895.38,899.38
music,899.38,922.56
speech,922.56,929.66
music,929.66,934.36
noise,934.36,936.92
music,936.92,941.76
speech,941.76,944.82
music,944.82,1276.52
speech,1276.52,1278.54
music,1278.54,1361.22
noise,1361.22,1364.28
music,1364.28,1428.00
speech,1428.00,1434.36
music,1434.36,1475.72
noise,1475.72,1487.56
