labels	start	stop
music	0.0	99.02
noEnergy	99.02	102.06
speech	102.06	106.94
noEnergy	106.94	107.5
speech	107.5	116.7
noEnergy	116.7	117.24000000000001
speech	117.24000000000001	121.02
noEnergy	121.02	123.10000000000001
music	123.10000000000001	228.3
noEnergy	228.3	230.48000000000002
speech	230.48000000000002	236.70000000000002
noEnergy	236.70000000000002	237.84
speech	237.84	242.98000000000002
noEnergy	242.98000000000002	243.6
speech	243.6	243.96
noEnergy	243.96	244.36
speech	244.36	246.1
noEnergy	246.1	246.92000000000002
music	246.92000000000002	257.12
speech	257.12	266.84000000000003
music	266.84000000000003	269.16
speech	269.16	274.44
noEnergy	274.44	276.26
music	276.26	290.26
speech	290.26	291.90000000000003
noEnergy	291.90000000000003	296.12
music	296.12	308.5
speech	308.5	309.48
noEnergy	309.48	311.0
music	311.0	319.98
noEnergy	319.98	321.14
music	321.14	327.2
noEnergy	327.2	327.72
music	327.72	331.18
speech	331.18	333.14
noEnergy	333.14	334.5
speech	334.5	335.90000000000003
music	335.90000000000003	343.72
speech	343.72	348.46
noEnergy	348.46	348.98
speech	348.98	350.92
noEnergy	350.92	351.5
music	351.5	354.52
speech	354.52	355.98
noEnergy	355.98	357.78000000000003
music	357.78000000000003	365.44
noise	365.44	369.16
noEnergy	369.16	370.38
noise	370.38	370.64
noEnergy	370.64	373.2
noise	373.2	373.72
noEnergy	373.72	378.90000000000003
music	378.90000000000003	382.40000000000003
speech	382.40000000000003	385.48
music	385.48	399.0
noEnergy	399.0	400.90000000000003
music	400.90000000000003	403.84000000000003
noEnergy	403.84000000000003	404.42
music	404.42	414.38
speech	414.38	420.32
music	420.32	431.36
speech	431.36	435.54
music	435.54	455.38
noEnergy	455.38	457.34000000000003
music	457.34000000000003	464.92
speech	464.92	468.26
music	468.26	476.12
speech	476.12	480.36
music	480.36	489.22
speech	489.22	491.34000000000003
music	491.34000000000003	524.26
noise	524.26	526.96
noEnergy	526.96	527.86
music	527.86	546.16
speech	546.16	549.76
noEnergy	549.76	551.16
noise	551.16	552.32
music	552.32	556.9
speech	556.9	560.84
music	560.84	568.94
speech	568.94	570.28
noEnergy	570.28	572.1800000000001
speech	572.1800000000001	574.66
music	574.66	581.76
speech	581.76	584.86
noEnergy	584.86	585.58
music	585.58	596.4
speech	596.4	597.64
music	597.64	611.38
speech	611.38	616.4
noEnergy	616.4	617.02
music	617.02	624.14
noEnergy	624.14	624.54
speech	624.54	625.96
music	625.96	631.2
noEnergy	631.2	631.86
speech	631.86	636.36
music	636.36	640.72
speech	640.72	644.2
noEnergy	644.2	645.32
speech	645.32	649.2
noEnergy	649.2	649.86
music	649.86	652.0
speech	652.0	653.58
music	653.58	658.0600000000001
speech	658.0600000000001	660.26
noEnergy	660.26	661.28
speech	661.28	663.24
music	663.24	674.5
noEnergy	674.5	675.0
music	675.0	682.1800000000001
speech	682.1800000000001	685.12
music	685.12	688.62
speech	688.62	698.2
noEnergy	698.2	699.0600000000001
music	699.0600000000001	714.6
noEnergy	714.6	715.1800000000001
speech	715.1800000000001	721.26
music	721.26	722.96
speech	722.96	724.0600000000001
noEnergy	724.0600000000001	724.52
music	724.52	739.08
speech	739.08	739.72
noEnergy	739.72	740.78
music	740.78	742.04
noEnergy	742.04	742.9
music	742.9	749.12
speech	749.12	751.8000000000001
music	751.8000000000001	775.46
noEnergy	775.46	776.4
speech	776.4	778.58
noEnergy	778.58	782.24
music	782.24	782.64
noEnergy	782.64	783.14
music	783.14	783.66
noEnergy	783.66	785.62
music	785.62	793.02
speech	793.02	797.72
music	797.72	812.34
noEnergy	812.34	814.0600000000001
music	814.0600000000001	839.04
noEnergy	839.04	842.5600000000001
speech	842.5600000000001	846.5
noEnergy	846.5	847.02
