labels	start	stop
speech	0.0	1.54
noEnergy	1.54	2.2800000000000002
speech	2.2800000000000002	3.2
noEnergy	3.2	3.62
speech	3.62	14.86
noEnergy	14.86	15.280000000000001
speech	15.280000000000001	18.34
noEnergy	18.34	18.82
speech	18.82	19.8
noEnergy	19.8	21.92
music	21.92	74.94
speech	74.94	81.10000000000001
music	81.10000000000001	94.14
speech	94.14	96.56
noEnergy	96.56	97.02
speech	97.02	99.06
noEnergy	99.06	100.34
music	100.34	115.60000000000001
noEnergy	115.60000000000001	116.12
music	116.12	133.34
noEnergy	133.34	133.78
music	133.78	136.86
speech	136.86	140.32
music	140.32	177.42000000000002
speech	177.42000000000002	183.48
noEnergy	183.48	184.12
speech	184.12	185.26
noEnergy	185.26	186.04
speech	186.04	186.88
noEnergy	186.88	187.32
music	187.32	201.36
noEnergy	201.36	201.96
music	201.96	207.8
noEnergy	207.8	208.34
music	208.34	224.26
speech	224.26	228.8
noEnergy	228.8	229.98000000000002
speech	229.98000000000002	230.86
noEnergy	230.86	231.44
speech	231.44	232.86
noEnergy	232.86	233.72
music	233.72	249.72
speech	249.72	250.8
noEnergy	250.8	253.20000000000002
music	253.20000000000002	254.86
noEnergy	254.86	256.24
music	256.24	259.42
noEnergy	259.42	259.84000000000003
music	259.84000000000003	275.58
speech	275.58	277.6
music	277.6	281.36
speech	281.36	285.58
noEnergy	285.58	286.2
music	286.2	290.72
noEnergy	290.72	291.62
music	291.62	298.58
noEnergy	298.58	299.16
speech	299.16	299.76
noEnergy	299.76	300.82
music	300.82	315.24
noEnergy	315.24	316.52
speech	316.52	319.22
music	319.22	326.32
noEnergy	326.32	328.1
music	328.1	337.08
noEnergy	337.08	337.68
music	337.68	349.92
speech	349.92	354.0
music	354.0	360.64
noEnergy	360.64	361.3
music	361.3	368.96
speech	368.96	371.58
music	371.58	386.02
noEnergy	386.02	389.0
music	389.0	397.58
speech	397.58	399.44
music	399.44	430.0
speech	430.0	431.92
music	431.92	443.46000000000004
noEnergy	443.46000000000004	444.32
speech	444.32	445.06
noEnergy	445.06	446.14
music	446.14	446.82
noEnergy	446.82	447.92
speech	447.92	449.48
music	449.48	469.38
noEnergy	469.38	470.88
speech	470.88	474.76
music	474.76	480.5
speech	480.5	486.2
music	486.2	490.96000000000004
speech	490.96000000000004	493.06
noEnergy	493.06	493.88
speech	493.88	495.92
noEnergy	495.92	502.62
music	502.62	538.04
speech	538.04	542.24
music	542.24	549.62
noEnergy	549.62	550.38
music	550.38	553.96
noEnergy	553.96	554.38
music	554.38	588.0600000000001
noEnergy	588.0600000000001	588.82
speech	588.82	592.64
noEnergy	592.64	593.72
music	593.72	614.98
noEnergy	614.98	616.08
speech	616.08	616.86
noEnergy	616.86	621.1800000000001
music	621.1800000000001	637.62
speech	637.62	643.14
music	643.14	651.52
noEnergy	651.52	651.96
speech	651.96	655.12
noEnergy	655.12	655.88
speech	655.88	657.1800000000001
music	657.1800000000001	659.48
noEnergy	659.48	660.04
noise	660.04	660.84
music	660.84	665.84
noEnergy	665.84	666.34
music	666.34	677.48
speech	677.48	681.04
noEnergy	681.04	681.66
speech	681.66	684.52
noEnergy	684.52	685.38
speech	685.38	686.0600000000001
noEnergy	686.0600000000001	688.02
speech	688.02	689.7
music	689.7	696.66
noEnergy	696.66	698.42
noise	698.42	699.24
noEnergy	699.24	703.88
music	703.88	704.6
noEnergy	704.6	706.38
music	706.38	706.82
noEnergy	706.82	707.72
music	707.72	709.34
noEnergy	709.34	710.16
speech	710.16	711.66
music	711.66	745.1800000000001
speech	745.1800000000001	753.5
noEnergy	753.5	754.38
speech	754.38	755.28
music	755.28	759.36
noEnergy	759.36	760.5
music	760.5	765.08
noEnergy	765.08	765.5600000000001
music	765.5600000000001	776.6
noEnergy	776.6	777.32
noise	777.32	777.6
noEnergy	777.6	779.52
music	779.52	781.52
noEnergy	781.52	782.6800000000001
music	782.6800000000001	795.58
noEnergy	795.58	798.3000000000001
speech	798.3000000000001	801.9
music	801.9	822.2
speech	822.2	830.88
music	830.88	844.76
noEnergy	844.76	846.1800000000001
speech	846.1800000000001	847.0
noEnergy	847.0	848.34
noise	848.34	849.1
noEnergy	849.1	849.82
noise	849.82	850.24
noEnergy	850.24	850.6800000000001
speech	850.6800000000001	857.1
music	857.1	862.32
speech	862.32	864.4
music	864.4	878.5600000000001
speech	878.5600000000001	883.34
music	883.34	891.28
speech	891.28	892.6800000000001
music	892.6800000000001	903.28
noEnergy	903.28	903.74
music	903.74	913.28
noEnergy	913.28	913.7
music	913.7	919.0600000000001
noEnergy	919.0600000000001	919.66
music	919.66	932.9
noise	932.9	935.44
speech	935.44	936.5600000000001
music	936.5600000000001	939.64
noEnergy	939.64	940.08
speech	940.08	941.54
music	941.54	945.84
noEnergy	945.84	947.22
speech	947.22	950.3000000000001
noEnergy	950.3000000000001	951.78
noise	951.78	952.2
noEnergy	952.2	952.78
noise	952.78	953.5
noEnergy	953.5	955.36
noise	955.36	957.4
music	957.4	983.76
noEnergy	983.76	985.0600000000001
speech	985.0600000000001	992.02
music	992.02	995.4200000000001
noEnergy	995.4200000000001	995.82
speech	995.82	998.0600000000001
music	998.0600000000001	1018.0600000000001
speech	1018.0600000000001	1021.0400000000001
music	1021.0400000000001	1025.5
noEnergy	1025.5	1028.5
music	1028.5	1030.3600000000001
noEnergy	1030.3600000000001	1031.9
music	1031.9	1034.66
noEnergy	1034.66	1035.06
music	1035.06	1036.3
noEnergy	1036.3	1036.74
music	1036.74	1056.4
noEnergy	1056.4	1057.28
speech	1057.28	1060.56
music	1060.56	1063.08
speech	1063.08	1064.0
noEnergy	1064.0	1064.94
speech	1064.94	1066.52
noEnergy	1066.52	1068.18
speech	1068.18	1069.34
noEnergy	1069.34	1070.2
speech	1070.2	1073.54
music	1073.54	1078.96
noEnergy	1078.96	1080.82
music	1080.82	1107.28
noEnergy	1107.28	1107.72
speech	1107.72	1109.0
music	1109.0	1115.14
speech	1115.14	1119.08
music	1119.08	1130.6200000000001
speech	1130.6200000000001	1134.56
noEnergy	1134.56	1136.02
noise	1136.02	1136.32
noEnergy	1136.32	1137.44
noise	1137.44	1138.18
noEnergy	1138.18	1138.92
speech	1138.92	1139.64
noEnergy	1139.64	1140.04
speech	1140.04	1141.1200000000001
noEnergy	1141.1200000000001	1142.66
music	1142.66	1155.6000000000001
noEnergy	1155.6000000000001	1156.22
music	1156.22	1157.8600000000001
noEnergy	1157.8600000000001	1159.02
noise	1159.02	1161.0
noEnergy	1161.0	1162.2
music	1162.2	1168.6000000000001
speech	1168.6000000000001	1169.38
noEnergy	1169.38	1170.92
speech	1170.92	1171.34
noEnergy	1171.34	1180.84
speech	1180.84	1181.1200000000001
noEnergy	1181.1200000000001	1184.1200000000001
music	1184.1200000000001	1205.46
noEnergy	1205.46	1206.48
music	1206.48	1215.26
speech	1215.26	1216.3600000000001
noEnergy	1216.3600000000001	1217.44
speech	1217.44	1217.88
noEnergy	1217.88	1220.52
music	1220.52	1240.56
noEnergy	1240.56	1241.2
music	1241.2	1254.42
speech	1254.42	1255.58
noEnergy	1255.58	1256.26
music	1256.26	1300.02
speech	1300.02	1303.64
noEnergy	1303.64	1304.1000000000001
speech	1304.1000000000001	1305.46
noEnergy	1305.46	1306.0
speech	1306.0	1306.64
noEnergy	1306.64	1310.1200000000001
music	1310.1200000000001	1311.08
noEnergy	1311.08	1312.06
music	1312.06	1323.66
speech	1323.66	1328.34
noEnergy	1328.34	1329.88
speech	1329.88	1334.1000000000001
noEnergy	1334.1000000000001	1335.82
music	1335.82	1337.1000000000001
noEnergy	1337.1000000000001	1337.74
music	1337.74	1352.6000000000001
noEnergy	1352.6000000000001	1353.16
speech	1353.16	1358.72
noEnergy	1358.72	1360.68
music	1360.68	1363.38
noEnergy	1363.38	1363.98
music	1363.98	1375.6200000000001
noEnergy	1375.6200000000001	1376.02
music	1376.02	1383.48
noEnergy	1383.48	1384.0
speech	1384.0	1388.78
noEnergy	1388.78	1389.68
noise	1389.68	1390.46
speech	1390.46	1393.56
noEnergy	1393.56	1394.28
speech	1394.28	1394.54
noEnergy	1394.54	1394.98
speech	1394.98	1396.98
noEnergy	1396.98	1397.42
music	1397.42	1409.5
speech	1409.5	1414.26
music	1414.26	1428.32
noEnergy	1428.32	1429.7
speech	1429.7	1431.8600000000001
noEnergy	1431.8600000000001	1433.66
music	1433.66	1442.02
noEnergy	1442.02	1445.48
speech	1445.48	1445.98
noEnergy	1445.98	1447.2
speech	1447.2	1449.6200000000001
noEnergy	1449.6200000000001	1450.16
speech	1450.16	1451.08
noEnergy	1451.08	1451.64
speech	1451.64	1455.52
noEnergy	1455.52	1458.4
speech	1458.4	1459.14
noEnergy	1459.14	1460.84
speech	1460.84	1462.02
noEnergy	1462.02	1463.84
speech	1463.84	1465.06
noEnergy	1465.06	1470.2
speech	1470.2	1473.38
noEnergy	1473.38	1473.98
speech	1473.98	1476.04
noEnergy	1476.04	1476.74
speech	1476.74	1477.3600000000001
noEnergy	1477.3600000000001	1478.1200000000001
speech	1478.1200000000001	1480.14
noEnergy	1480.14	1480.56
speech	1480.56	1483.52
noEnergy	1483.52	1484.02
speech	1484.02	1485.1200000000001
noEnergy	1485.1200000000001	1486.38
speech	1486.38	1487.96
noEnergy	1487.96	1488.74
speech	1488.74	1489.26
noEnergy	1489.26	1490.5
speech	1490.5	1492.04
noEnergy	1492.04	1493.14
noise	1493.14	1493.42
noEnergy	1493.42	1495.56
speech	1495.56	1496.7
noEnergy	1496.7	1498.24
speech	1498.24	1499.46
noEnergy	1499.46	1502.4
speech	1502.4	1510.34
noEnergy	1510.34	1512.66
speech	1512.66	1513.28
noEnergy	1513.28	1514.68
speech	1514.68	1515.5
noEnergy	1515.5	1516.14
noise	1516.14	1517.76
noEnergy	1517.76	1519.8
speech	1519.8	1527.14
noEnergy	1527.14	1527.82
music	1527.82	1532.96
noEnergy	1532.96	1536.46
music	1536.46	1538.7
speech	1538.7	1541.16
music	1541.16	1543.76
noEnergy	1543.76	1544.58
music	1544.58	1546.38
noEnergy	1546.38	1546.9
music	1546.9	1548.06
noEnergy	1548.06	1548.48
music	1548.48	1550.22
noEnergy	1550.22	1550.78
music	1550.78	1552.98
noEnergy	1552.98	1553.66
music	1553.66	1562.92
speech	1562.92	1564.16
noEnergy	1564.16	1571.9
speech	1571.9	1572.98
noEnergy	1572.98	1581.3
speech	1581.3	1582.02
noEnergy	1582.02	1582.92
