labels,start,stop
music,0.00,108.72
noEnergy,108.72,109.12
music,109.12,169.50
noEnergy,169.50,170.24
music,170.24,172.68
speech,172.68,180.70
noEnergy,180.70,181.38
speech,181.38,182.62
noise,182.62,186.56
noEnergy,186.56,187.08
music,187.08,250.00
noEnergy,250.00,251.98
speech,251.98,252.40
noEnergy,252.40,253.38
speech,253.38,260.84
music,260.84,295.14
noEnergy,295.14,295.58
music,295.58,379.96
noEnergy,379.96,381.12
music,381.12,403.22
noEnergy,403.22,403.68
music,403.68,414.26
noEnergy,414.26,415.24
music,415.24,477.14
noEnergy,477.14,477.98
music,477.98,507.48
noEnergy,507.48,508.14
speech,508.14,509.38
noEnergy,509.38,510.86
music,510.86,517.80
noEnergy,517.80,518.64
music,518.64,575.94
noEnergy,575.94,578.08
speech,578.08,579.20
noEnergy,579.20,581.06
noise,581.06,581.42
noEnergy,581.42,582.18
noise,582.18,582.72
noEnergy,582.72,583.26
music,583.26,590.00
noEnergy,590.00,591.86
music,591.86,665.64
noEnergy,665.64,666.40
music,666.40,668.38
noEnergy,668.38,668.82
music,668.82,686.98
noEnergy,686.98,687.78
music,687.78,697.40
noEnergy,697.40,698.64
music,698.64,774.84
noEnergy,774.84,775.30
noise,775.30,776.18
noEnergy,776.18,776.92
music,776.92,796.50
noEnergy,796.50,797.62
music,797.62,824.52
noEnergy,824.52,825.40
music,825.40,835.44
noEnergy,835.44,836.18
noise,836.18,836.62
noEnergy,836.62,837.76
music,837.76,841.08
noEnergy,841.08,841.74
music,841.74,893.60
noEnergy,893.60,894.40
music,894.40,926.04
noEnergy,926.04,926.50
music,926.50,928.04
noEnergy,928.04,928.50
music,928.50,964.02
speech,964.02,968.06
music,968.06,991.60
noEnergy,991.60,992.10
music,992.10,994.88
noEnergy,994.88,995.38
music,995.38,1000.94
noEnergy,1000.94,1002.46
music,1002.46,1083.24
noEnergy,1083.24,1084.28
music,1084.28,1198.62
noEnergy,1198.62,1199.50
music,1199.50,1203.72
noEnergy,1203.72,1205.00
music,1205.00,1225.24
noEnergy,1225.24,1225.92
music,1225.92,1246.92
noEnergy,1246.92,1248.00
speech,1248.00,1251.74
music,1251.74,1258.52
noEnergy,1258.52,1259.30
noise,1259.30,1262.28
speech,1262.28,1264.54
music,1264.54,1265.94
noEnergy,1265.94,1266.94
music,1266.94,1282.70
