labels	start	stop
noEnergy	0.0	1.3800000000000001
music	1.3800000000000001	55.02
noEnergy	55.02	56.660000000000004
speech	56.660000000000004	69.26
music	69.26	72.60000000000001
speech	72.60000000000001	75.56
noEnergy	75.56	76.16
speech	76.16	80.38
music	80.38	131.2
noEnergy	131.2	133.62
speech	133.62	142.5
music	142.5	146.02
noEnergy	146.02	146.70000000000002
speech	146.70000000000002	150.26
noEnergy	150.26	150.92000000000002
speech	150.92000000000002	154.38
music	154.38	163.66
speech	163.66	165.24
noEnergy	165.24	165.82
music	165.82	169.16
noEnergy	169.16	170.56
music	170.56	182.5
speech	182.5	185.52
noEnergy	185.52	186.18
speech	186.18	191.82
music	191.82	200.70000000000002
noEnergy	200.70000000000002	201.6
music	201.6	202.42000000000002
noEnergy	202.42000000000002	202.94
speech	202.94	203.96
noEnergy	203.96	204.54
music	204.54	214.32
noise	214.32	216.22
speech	216.22	219.6
noEnergy	219.6	220.0
music	220.0	229.20000000000002
noEnergy	229.20000000000002	230.36
speech	230.36	232.98000000000002
noEnergy	232.98000000000002	233.4
noise	233.4	234.52
noEnergy	234.52	235.58
noise	235.58	238.42000000000002
noEnergy	238.42000000000002	238.9
speech	238.9	241.8
noEnergy	241.8	244.32
speech	244.32	246.92000000000002
noEnergy	246.92000000000002	247.44
noise	247.44	257.32
noEnergy	257.32	258.12
noise	258.12	260.24
noEnergy	260.24	261.74
noise	261.74	265.06
noEnergy	265.06	266.96
speech	266.96	268.4
noEnergy	268.4	270.3
speech	270.3	270.78000000000003
noEnergy	270.78000000000003	271.42
speech	271.42	273.18
music	273.18	308.92
noEnergy	308.92	309.74
speech	309.74	311.88
noEnergy	311.88	317.12
music	317.12	368.62
noEnergy	368.62	369.54
speech	369.54	369.98
noEnergy	369.98	370.66
speech	370.66	371.26
noEnergy	371.26	372.02
speech	372.02	376.26
noEnergy	376.26	376.96
speech	376.96	377.34000000000003
noEnergy	377.34000000000003	377.76
music	377.76	383.2
speech	383.2	385.18
noEnergy	385.18	386.46000000000004
speech	386.46000000000004	387.14
noEnergy	387.14	387.76
music	387.76	389.7
noEnergy	389.7	391.52
noise	391.52	391.78000000000003
noEnergy	391.78000000000003	392.26
music	392.26	392.82
noEnergy	392.82	393.26
music	393.26	394.22
speech	394.22	395.64
music	395.64	396.56
noEnergy	396.56	399.16
music	399.16	401.16
noEnergy	401.16	401.82
music	401.82	414.16
speech	414.16	418.96000000000004
music	418.96000000000004	431.24
speech	431.24	433.04
noEnergy	433.04	434.02
music	434.02	437.68
speech	437.68	443.76
music	443.76	453.84000000000003
noEnergy	453.84000000000003	454.56
speech	454.56	458.12
music	458.12	459.02
noEnergy	459.02	459.56
noise	459.56	459.92
noEnergy	459.92	460.40000000000003
music	460.40000000000003	465.64
noEnergy	465.64	466.18
music	466.18	472.40000000000003
noEnergy	472.40000000000003	473.3
music	473.3	475.5
speech	475.5	476.84000000000003
noEnergy	476.84000000000003	477.74
speech	477.74	481.34000000000003
music	481.34000000000003	484.94
speech	484.94	486.6
noEnergy	486.6	487.40000000000003
music	487.40000000000003	494.62
speech	494.62	496.38
music	496.38	503.18
noEnergy	503.18	503.64
music	503.64	510.84000000000003
speech	510.84000000000003	513.5600000000001
music	513.5600000000001	515.32
speech	515.32	521.74
noEnergy	521.74	523.16
music	523.16	525.66
noEnergy	525.66	527.0
speech	527.0	527.34
noEnergy	527.34	528.02
music	528.02	530.76
speech	530.76	538.22
music	538.22	547.22
speech	547.22	549.0
noEnergy	549.0	549.42
speech	549.42	552.16
music	552.16	555.42
noEnergy	555.42	556.1800000000001
music	556.1800000000001	568.82
noEnergy	568.82	569.58
music	569.58	576.88
noEnergy	576.88	577.64
noise	577.64	578.94
noEnergy	578.94	579.66
music	579.66	583.64
speech	583.64	586.24
music	586.24	596.72
speech	596.72	598.04
music	598.04	612.5600000000001
noEnergy	612.5600000000001	614.34
music	614.34	614.98
noEnergy	614.98	615.98
music	615.98	621.1800000000001
speech	621.1800000000001	626.52
music	626.52	641.84
noEnergy	641.84	642.5
music	642.5	655.74
noEnergy	655.74	656.54
music	656.54	673.74
noEnergy	673.74	674.42
speech	674.42	680.36
music	680.36	700.24
noEnergy	700.24	701.48
speech	701.48	702.32
noEnergy	702.32	703.32
speech	703.32	706.2
noEnergy	706.2	707.36
speech	707.36	709.26
music	709.26	710.38
noEnergy	710.38	712.16
music	712.16	736.6
noEnergy	736.6	737.0
music	737.0	769.66
