labels	start	stop
noEnergy	0.0	3.44
music	3.44	58.68
noEnergy	58.68	59.6
speech	59.6	65.28
music	65.28	78.28
noEnergy	78.28	78.8
music	78.8	79.10000000000001
noEnergy	79.10000000000001	80.18
speech	80.18	80.76
noEnergy	80.76	81.82000000000001
speech	81.82000000000001	87.46000000000001
music	87.46000000000001	90.3
speech	90.3	94.32000000000001
music	94.32000000000001	136.2
noEnergy	136.2	139.18
speech	139.18	139.76
noEnergy	139.76	140.84
speech	140.84	141.52
noEnergy	141.52	142.66
music	142.66	209.74
noEnergy	209.74	210.32
speech	210.32	212.82
music	212.82	228.16
speech	228.16	231.88
music	231.88	255.64000000000001
noEnergy	255.64000000000001	257.86
speech	257.86	258.78000000000003
music	258.78000000000003	276.18
speech	276.18	284.22
music	284.22	285.88
noEnergy	285.88	291.98
