labels,start,stop
music,0,35.64
noise,35.64,42.7
speech,42.7,53.5
music,53.5,154.64
speech,154.64,159.24
music,159.24,165.94
noEnergy,165.94,166.36
music,166.36,181.76
noEnergy,181.76,182.6
music,182.6,185.4
noEnergy,185.4,186.18
music,186.18,265.58
speech,265.58,272.78
music,272.78,285.18
noEnergy,285.18,285.7
speech,285.7,290.68
noEnergy,290.68,291.16
music,291.16,307.94
noise,307.94,309.98
noEnergy,309.98,310.52
music,310.52,503.72
noEnergy,503.72,504.14
music,504.14,568.54
noEnergy,568.54,569.84
speech,569.84,577.24
noEnergy,577.24,577.68
speech,577.68,599.5
music,599.5,626.52
speech,626.52,633.4
music,633.4,637.3
noEnergy,637.3,637.88
music,637.88,704.48
speech,704.48,707.8
music,707.8,755.2
noEnergy,755.2,755.74
speech,755.74,757.26
music,757.26,891
noEnergy,891,891.8
noise,891.8,894.04
noEnergy,894.04,895.22
music,895.22,907.92
noEnergy,907.92,908.52
speech,908.52,909.72
noEnergy,909.72,910.76
music,910.76,1023.4
noEnergy,1023.4,1024.8
music,1024.8,1076.12
speech,1076.12,1086.54
music,1086.54,1093.92
noEnergy,1093.92,1095.18
speech,1095.18,1099.68
noEnergy,1099.68,1100.98
speech,1100.98,1104.76
music,1104.76,1108.94
noEnergy,1108.94,1109.52
music,1109.52,1221.56
noEnergy,1221.56,1222.08
music,1222.08,1319.46
noEnergy,1319.46,1320
noise,1320,1327.68
music,1327.68,1348.94
speech,1348.94,1354.14
music,1354.14,1410.22
noEnergy,1410.22,1410.68
music,1410.68,1512.46
noEnergy,1512.46,1513.04
noise,1513.04,1518.22
music,1518.22,1557.36
