labels	start	stop
noEnergy	0.0	0.42
speech	0.42	3.58
noEnergy	3.58	4.34
speech	4.34	5.88
noEnergy	5.88	6.44
speech	6.44	7.36
noEnergy	7.36	8.040000000000001
speech	8.040000000000001	14.540000000000001
music	14.540000000000001	22.96
speech	22.96	26.46
noEnergy	26.46	26.86
speech	26.86	30.18
noEnergy	30.18	33.02
music	33.02	142.46
noEnergy	142.46	146.34
speech	146.34	160.18
noEnergy	160.18	161.24
music	161.24	168.58
noEnergy	168.58	170.0
music	170.0	181.1
noEnergy	181.1	181.54
music	181.54	188.28
speech	188.28	189.8
noEnergy	189.8	190.3
speech	190.3	193.14000000000001
noEnergy	193.14000000000001	194.24
music	194.24	195.96
noEnergy	195.96	196.58
music	196.58	197.72
noEnergy	197.72	198.4
speech	198.4	200.22
noEnergy	200.22	200.66
speech	200.66	203.94
noEnergy	203.94	204.82
noise	204.82	206.16
noEnergy	206.16	206.94
speech	206.94	209.3
noEnergy	209.3	209.70000000000002
speech	209.70000000000002	236.4
noEnergy	236.4	238.34
speech	238.34	240.12
noEnergy	240.12	240.64000000000001
speech	240.64000000000001	246.06
noEnergy	246.06	247.16
speech	247.16	250.70000000000002
noEnergy	250.70000000000002	251.1
speech	251.1	256.32
noEnergy	256.32	256.9
music	256.9	269.78000000000003
speech	269.78000000000003	276.94
noEnergy	276.94	277.34000000000003
speech	277.34000000000003	279.82
noEnergy	279.82	281.28000000000003
speech	281.28000000000003	285.22
noEnergy	285.22	286.3
speech	286.3	290.84000000000003
noEnergy	290.84000000000003	291.24
music	291.24	295.34000000000003
speech	295.34000000000003	305.28000000000003
noEnergy	305.28000000000003	305.82
music	305.82	335.42
speech	335.42	343.72
music	343.72	348.98
speech	348.98	357.68
music	357.68	364.44
speech	364.44	370.48
noEnergy	370.48	372.24
speech	372.24	373.7
music	373.7	393.1
speech	393.1	395.14
noEnergy	395.14	395.76
speech	395.76	397.92
noEnergy	397.92	398.74
music	398.74	410.1
speech	410.1	414.02
noEnergy	414.02	415.06
speech	415.06	416.94
noEnergy	416.94	419.32
speech	419.32	422.38
noEnergy	422.38	424.6
speech	424.6	426.98
noEnergy	426.98	427.46000000000004
speech	427.46000000000004	431.84000000000003
noEnergy	431.84000000000003	432.42
speech	432.42	434.68
noEnergy	434.68	436.86
speech	436.86	439.40000000000003
noEnergy	439.40000000000003	440.02
speech	440.02	440.86
noEnergy	440.86	441.98
speech	441.98	443.98
noEnergy	443.98	445.7
music	445.7	477.54
speech	477.54	482.82
noEnergy	482.82	483.54
speech	483.54	485.3
noEnergy	485.3	485.94
music	485.94	497.92
speech	497.92	500.48
noEnergy	500.48	501.5
music	501.5	528.74
noEnergy	528.74	529.22
speech	529.22	530.32
music	530.32	537.42
noise	537.42	539.42
noEnergy	539.42	540.64
speech	540.64	545.52
music	545.52	555.62
speech	555.62	558.08
music	558.08	563.9
speech	563.9	569.52
noEnergy	569.52	570.3000000000001
music	570.3000000000001	586.24
speech	586.24	590.22
noEnergy	590.22	590.78
music	590.78	592.94
noEnergy	592.94	595.12
music	595.12	602.9
speech	602.9	608.02
noEnergy	608.02	608.44
speech	608.44	610.16
noEnergy	610.16	610.82
music	610.82	615.78
noEnergy	615.78	616.1800000000001
speech	616.1800000000001	616.72
noEnergy	616.72	617.52
music	617.52	628.86
speech	628.86	630.16
music	630.16	630.88
noEnergy	630.88	631.34
music	631.34	646.5600000000001
noEnergy	646.5600000000001	647.22
music	647.22	647.62
noEnergy	647.62	648.26
music	648.26	659.26
noEnergy	659.26	661.34
music	661.34	662.6
noEnergy	662.6	663.8000000000001
music	663.8000000000001	677.2
speech	677.2	678.16
noEnergy	678.16	679.52
speech	679.52	681.2
noEnergy	681.2	682.62
speech	682.62	684.4
noEnergy	684.4	685.3000000000001
speech	685.3000000000001	687.0600000000001
music	687.0600000000001	694.24
noEnergy	694.24	694.94
speech	694.94	695.62
noEnergy	695.62	696.5
speech	696.5	697.16
noEnergy	697.16	697.82
music	697.82	705.14
speech	705.14	707.14
noEnergy	707.14	708.1
music	708.1	716.88
speech	716.88	721.14
music	721.14	724.14
speech	724.14	730.6
noEnergy	730.6	731.08
speech	731.08	731.86
noEnergy	731.86	732.58
speech	732.58	737.82
noEnergy	737.82	738.8000000000001
music	738.8000000000001	748.62
speech	748.62	751.38
music	751.38	757.44
noEnergy	757.44	758.22
music	758.22	759.6
noEnergy	759.6	762.22
music	762.22	763.0
noEnergy	763.0	764.0600000000001
music	764.0600000000001	791.4
speech	791.4	799.62
noEnergy	799.62	800.14
speech	800.14	804.44
music	804.44	807.5
speech	807.5	809.9
music	809.9	813.32
speech	813.32	816.62
noEnergy	816.62	817.46
speech	817.46	818.3000000000001
music	818.3000000000001	821.82
noEnergy	821.82	822.22
music	822.22	827.16
speech	827.16	830.4200000000001
noEnergy	830.4200000000001	831.44
noise	831.44	834.36
noEnergy	834.36	835.22
speech	835.22	836.48
noEnergy	836.48	837.4200000000001
speech	837.4200000000001	839.34
noEnergy	839.34	841.44
noise	841.44	841.78
noEnergy	841.78	843.38
music	843.38	856.88
