labels,start,stop
speech,0.00,0.98
noEnergy,0.98,4.84
music,4.84,11.06
noEnergy,11.06,12.40
music,12.40,18.40
noEnergy,18.40,19.20
music,19.20,24.58
noEnergy,24.58,26.00
music,26.00,26.72
noEnergy,26.72,27.34
music,27.34,30.00
noEnergy,30.00,32.14
music,32.14,45.60
noEnergy,45.60,46.52
music,46.52,87.52
noEnergy,87.52,88.48
music,88.48,89.56
noEnergy,89.56,91.24
music,91.24,92.26
noEnergy,92.26,96.56
music,96.56,165.10
noEnergy,165.10,166.16
music,166.16,222.12
noEnergy,222.12,225.32
music,225.32,239.58
noEnergy,239.58,240.12
music,240.12,243.94
noEnergy,243.94,244.40
music,244.40,272.94
noEnergy,272.94,273.40
music,273.40,277.02
noEnergy,277.02,278.38
music,278.38,329.30
noEnergy,329.30,330.14
music,330.14,358.64
noEnergy,358.64,359.94
music,359.94,433.00
noEnergy,433.00,433.66
music,433.66,436.98
noEnergy,436.98,437.50
music,437.50,438.68
noEnergy,438.68,440.62
music,440.62,442.32
speech,442.32,459.86
music,459.86,462.86
speech,462.86,468.64
music,468.64,479.86
noEnergy,479.86,480.50
noise,480.50,487.56
noEnergy,487.56,488.08
music,488.08,490.10
speech,490.10,494.96
music,494.96,497.78
speech,497.78,499.00
noEnergy,499.00,499.74
music,499.74,500.80
speech,500.80,502.76
noEnergy,502.76,503.30
speech,503.30,508.04
noEnergy,508.04,508.70
speech,508.70,512.80
noEnergy,512.80,513.36
speech,513.36,513.98
music,513.98,548.62
speech,548.62,558.10
noEnergy,558.10,558.74
speech,558.74,559.04
noEnergy,559.04,559.60
speech,559.60,560.50
music,560.50,595.04
speech,595.04,596.16
noEnergy,596.16,597.10
speech,597.10,598.40
noEnergy,598.40,599.46
speech,599.46,602.88
noEnergy,602.88,604.22
speech,604.22,620.34
noEnergy,620.34,621.00
noise,621.00,621.52
noEnergy,621.52,621.94
speech,621.94,624.04
noEnergy,624.04,624.46
speech,624.46,626.48
noEnergy,626.48,626.94
speech,626.94,627.94
noEnergy,627.94,629.92
speech,629.92,638.76
noEnergy,638.76,639.52
speech,639.52,640.64
noEnergy,640.64,641.32
noise,641.32,641.96
noEnergy,641.96,642.44
speech,642.44,643.18
noEnergy,643.18,644.22
speech,644.22,648.46
music,648.46,659.60
noEnergy,659.60,660.80
music,660.80,662.68
speech,662.68,670.48
music,670.48,672.76
speech,672.76,675.08
noEnergy,675.08,676.20
speech,676.20,677.60
music,677.60,693.32
speech,693.32,694.18
noEnergy,694.18,695.60
music,695.60,708.36
speech,708.36,724.94
music,724.94,757.20
speech,757.20,762.56
music,762.56,767.00
noEnergy,767.00,767.66
music,767.66,824.40
noEnergy,824.40,825.22
music,825.22,863.14
speech,863.14,879.92
noEnergy,879.92,880.70
speech,880.70,887.14
music,887.14,922.40
speech,922.40,923.42
noEnergy,923.42,924.56
speech,924.56,925.84
noEnergy,925.84,926.58
speech,926.58,936.52
noEnergy,936.52,937.34
speech,937.34,938.72
music,938.72,992.66
noEnergy,992.66,993.88
music,993.88,1152.72
noEnergy,1152.72,1153.68
music,1153.68,1165.72
noEnergy,1165.72,1166.70
music,1166.70,1171.50
speech,1171.50,1173.04
noEnergy,1173.04,1173.60
music,1173.60,1181.40
speech,1181.40,1201.58
music,1201.58,1245.52
speech,1245.52,1249.66
music,1249.66,1267.30
noEnergy,1267.30,1267.76
music,1267.76,1299.18
speech,1299.18,1304.22
noEnergy,1304.22,1304.76
music,1304.76,1307.20
speech,1307.20,1308.84
noEnergy,1308.84,1309.86
noise,1309.86,1310.62
noEnergy,1310.62,1311.08
noise,1311.08,1312.32
noEnergy,1312.32,1313.06
music,1313.06,1336.56
noEnergy,1336.56,1336.98
speech,1336.98,1339.64
music,1339.64,1381.58
speech,1381.58,1382.52
noEnergy,1382.52,1382.90
speech,1382.90,1383.76
noEnergy,1383.76,1384.30
speech,1384.30,1385.20
noEnergy,1385.20,1385.70
speech,1385.70,1386.48
noEnergy,1386.48,1387.54
speech,1387.54,1388.28
music,1388.28,1397.52
speech,1397.52,1400.84
music,1400.84,1404.72
noEnergy,1404.72,1405.16
music,1405.16,1438.58
noEnergy,1438.58,1439.04
music,1439.04,1457.24
speech,1457.24,1459.32
music,1459.32,1468.28
speech,1468.28,1479.14
noEnergy,1479.14,1479.64
speech,1479.64,1484.98
music,1484.98,1507.34
speech,1507.34,1512.04
noise,1512.04,1515.92
