labels,start,stop
speech,0.00,7.80
music,7.80,20.60
noEnergy,20.60,21.02
music,21.02,31.78
noEnergy,31.78,32.28
music,32.28,37.74
noEnergy,37.74,38.28
music,38.28,63.44
noEnergy,63.44,63.94
noise,63.94,65.10
music,65.10,74.10
noEnergy,74.10,74.66
music,74.66,164.50
noEnergy,164.50,165.06
music,165.06,178.80
noEnergy,178.80,179.26
music,179.26,183.52
noEnergy,183.52,184.18
music,184.18,196.38
noEnergy,196.38,197.68
music,197.68,198.44
noEnergy,198.44,199.14
speech,199.14,199.40
noEnergy,199.40,199.80
music,199.80,247.36
noEnergy,247.36,247.84
music,247.84,284.46
speech,284.46,295.08
noEnergy,295.08,295.52
speech,295.52,297.60
noEnergy,297.60,298.12
noise,298.12,298.86
music,298.86,311.44
noEnergy,311.44,312.20
music,312.20,319.90
noEnergy,319.90,320.38
music,320.38,331.02
speech,331.02,342.68
music,342.68,347.60
speech,347.60,351.06
music,351.06,387.16
speech,387.16,388.20
noEnergy,388.20,388.72
speech,388.72,395.08
noEnergy,395.08,395.76
music,395.76,433.48
noise,433.48,434.28
noEnergy,434.28,434.84
music,434.84,435.96
speech,435.96,444.28
music,444.28,449.28
speech,449.28,453.34
music,453.34,462.98
noEnergy,462.98,463.52
music,463.52,471.32
speech,471.32,474.86
music,474.86,509.32
noEnergy,509.32,509.80
music,509.80,531.60
noEnergy,531.60,532.02
speech,532.02,533.56
music,533.56,536.38
speech,536.38,540.20
music,540.20,563.64
speech,563.64,566.08
music,566.08,568.74
noEnergy,568.74,569.24
noise,569.24,570.62
music,570.62,598.90
noEnergy,598.90,599.34
music,599.34,602.24
speech,602.24,605.78
music,605.78,611.24
speech,611.24,623.46
music,623.46,641.80
speech,641.80,649.58
music,649.58,654.08
speech,654.08,657.78
music,657.78,669.60
speech,669.60,672.16
music,672.16,707.82
noEnergy,707.82,708.24
music,708.24,739.86
noEnergy,739.86,740.32
speech,740.32,744.36
noise,744.36,750.12
speech,750.12,763.22
music,763.22,774.48
noise,774.48,778.54
speech,778.54,781.22
noise,781.22,782.40
noEnergy,782.40,783.16
noise,783.16,785.80
music,785.80,794.18
noEnergy,794.18,795.04
music,795.04,802.64
speech,802.64,805.52
noEnergy,805.52,806.26
noise,806.26,808.14
speech,808.14,809.98
music,809.98,818.96
noEnergy,818.96,820.14
speech,820.14,821.00
noEnergy,821.00,821.84
speech,821.84,822.98
noEnergy,822.98,824.24
speech,824.24,845.88
noEnergy,845.88,846.48
speech,846.48,861.52
noEnergy,861.52,862.16
music,862.16,914.88
noEnergy,914.88,915.84
noise,915.84,918.28
speech,918.28,931.16
noEnergy,931.16,931.76
noise,931.76,933.64
speech,933.64,945.18
noEnergy,945.18,945.62
speech,945.62,948.54
noEnergy,948.54,951.08
speech,951.08,961.22
noEnergy,961.22,961.64
speech,961.64,966.14
noEnergy,966.14,967.04
speech,967.04,985.10
noEnergy,985.10,985.50
speech,985.50,988.82
noEnergy,988.82,989.36
speech,989.36,1006.06
noise,1006.06,1007.48
noEnergy,1007.48,1008.18
speech,1008.18,1034.18
noise,1034.18,1037.72
music,1037.72,1045.94
speech,1045.94,1047.60
noEnergy,1047.60,1048.08
noise,1048.08,1048.32
noEnergy,1048.32,1049.34
speech,1049.34,1057.38
music,1057.38,1060.58
