labels,start,stop
music,0,43.54
speech,43.54,68.18
music,68.18,92.3
speech,92.3,104.92
music,104.92,150.58
speech,150.58,156.5
noise,156.5,157.94
speech,157.94,160.38
noise,160.38,167.34
music,167.34,169.58
speech,169.58,179.42
music,179.42,245.54
noise,245.54,248.52
music,248.52,335.7
noise,335.7,337.14
noEnergy,337.14,337.74
music,337.74,377.36
speech,377.36,378.36
noise,378.36,387.26
speech,387.26,389.74
noise,389.74,391.18
music,391.18,457.14
speech,457.14,461.68
noise,461.68,463.16
music,463.16,533.84
speech,533.84,539.06
noise,539.06,549.3
music,549.3,627.02
speech,627.02,630.76
music,630.76,666.02
speech,666.02,671.14
music,671.14,678.5
noise,678.5,680.18
speech,680.18,685.3
music,685.3,689.36
noEnergy,689.36,689.78
music,689.78,696.22
noise,696.22,703.08
music,703.08,707.78
speech,707.78,718.36
noise,718.36,725.34
speech,725.34,729.32
noise,729.32,730.4
music,730.4,780.18
speech,780.18,784.82
noise,784.82,786.88
music,786.88,814.8
speech,814.8,817.4
music,817.4,882.92
noise,882.92,888.52
music,888.52,956.16
noise,956.16,958.68
noEnergy,958.68,959.36
music,959.36,969.66
speech,969.66,975.12
music,975.12,989.42
noise,989.42,992.32
music,992.32,1020.88
noise,1020.88,1022.6
music,1022.6,1028.14
noise,1028.14,1031.2
music,1031.2,1071.84
speech,1071.84,1074.78
music,1074.78,1078.94
noEnergy,1078.94,1079.84
speech,1079.84,1085.3
music,1085.3,1089.26
speech,1089.26,1090.94
noise,1090.94,1093.12
music,1093.12,1097.56
speech,1097.56,1105.28
music,1105.28,1108
noEnergy,1108,1109.58
noise,1109.58,1110.5
speech,1110.5,1117.44
noise,1117.44,1119.92
speech,1119.92,1121.88
noEnergy,1121.88,1122.48
speech,1122.48,1123.34
noEnergy,1123.34,1124.12
noise,1124.12,1126.48
speech,1126.48,1129.16
music,1129.16,1139.28
speech,1139.28,1145.64
music,1145.64,1155.62
noise,1155.62,1169.64
speech,1169.64,1173.48
noise,1173.48,1178.52
music,1178.52,1239.66
speech,1239.66,1243.48
music,1243.48,1252.48
speech,1252.48,1258.88
music,1258.88,1267.74
speech,1267.74,1274.14
music,1274.14,1281.24
noise,1281.24,1283.24
music,1283.24,1316.8
speech,1316.8,1330.06
