labels,start,stop
speech,1.92,4.7
noEnergy,4.7,5.14
music,5.14,11.16
noEnergy,11.16,12.42
music,12.42,18.38
noEnergy,18.38,19.62
music,19.62,25.92
noEnergy,25.92,26.44
music,26.44,31.66
noEnergy,31.66,33.04
music,33.04,37.7
noEnergy,37.7,39.18
music,39.18,52.46
noEnergy,52.46,52.92
music,52.92,94.02
noEnergy,94.02,94.7
music,94.7,95.82
noEnergy,95.82,97.26
music,97.26,97.98
noEnergy,97.98,102.5
music,102.5,170.52
noEnergy,170.52,171.56
music,171.56,226.82
noEnergy,226.82,229.78
music,229.78,275.86
noEnergy,275.86,276.52
music,276.52,280
noEnergy,280,281.88
music,281.88,331.5
noEnergy,331.5,332.32
music,332.32,360.24
noEnergy,360.24,361.5
music,361.5,434.66
noEnergy,434.66,435.24
music,435.24,451.7
speech,451.7,457.36
noise,457.36,462.16
music,462.16,468.14
speech,468.14,471.62
noEnergy,471.62,472.92
music,472.92,489.18
noise,489.18,492.66
music,492.66,540.9
noEnergy,540.9,541.3
music,541.3,571.7
noise,571.7,572.92
noEnergy,572.92,573.42
noise,573.42,575.34
speech,575.34,578.24
noEnergy,578.24,578.66
music,578.66,669.8
speech,669.8,671.32
noEnergy,671.32,671.8
music,671.8,713.76
noEnergy,713.76,714.2
music,714.2,765.48
noEnergy,765.48,766.22
music,766.22,825.54
noEnergy,825.54,826.14
music,826.14,852.08
noise,852.08,854.58
speech,854.58,859.62
music,859.62,926.32
noEnergy,926.32,926.9
music,926.9,931.52
noEnergy,931.52,931.94
music,931.94,952.12
noEnergy,952.12,952.56
music,952.56,1044.96
speech,1044.96,1046.36
noEnergy,1046.36,1047.26
music,1047.26,1062.32
speech,1062.32,1090.5
music,1090.5,1105
