labels	start	stop
music	0.0	1.96
speech	1.96	3.74
noEnergy	3.74	5.0600000000000005
music	5.0600000000000005	5.76
noEnergy	5.76	6.7
music	6.7	10.24
noEnergy	10.24	10.8
speech	10.8	11.4
music	11.4	68.82000000000001
noEnergy	68.82000000000001	69.94
speech	69.94	88.72
noEnergy	88.72	90.52
speech	90.52	91.66
noise	91.66	93.76
noEnergy	93.76	98.9
speech	98.9	107.54
noEnergy	107.54	109.10000000000001
music	109.10000000000001	160.5
speech	160.5	163.58
noEnergy	163.58	164.04
speech	164.04	164.36
noEnergy	164.36	164.78
speech	164.78	165.12
noEnergy	165.12	165.9
speech	165.9	166.92000000000002
noEnergy	166.92000000000002	167.54
speech	167.54	173.3
music	173.3	177.9
noEnergy	177.9	178.78
music	178.78	180.46
speech	180.46	181.4
noEnergy	181.4	182.14000000000001
speech	182.14000000000001	185.06
noEnergy	185.06	186.08
speech	186.08	188.32
music	188.32	215.22
speech	215.22	218.26
music	218.26	222.3
speech	222.3	223.24
noEnergy	223.24	223.86
music	223.86	236.14000000000001
speech	236.14000000000001	239.42000000000002
music	239.42000000000002	242.4
noEnergy	242.4	243.76
music	243.76	246.6
speech	246.6	247.44
noEnergy	247.44	248.32
music	248.32	255.92000000000002
noEnergy	255.92000000000002	256.86
music	256.86	258.56
noEnergy	258.56	259.08
music	259.08	262.3
noEnergy	262.3	263.3
music	263.3	265.66
speech	265.66	267.32
noEnergy	267.32	268.44
music	268.44	273.72
noEnergy	273.72	275.18
speech	275.18	275.68
noEnergy	275.68	277.42
music	277.42	278.76
noEnergy	278.76	279.24
music	279.24	298.68
noEnergy	298.68	299.54
music	299.54	314.98
noEnergy	314.98	316.04
music	316.04	330.62
speech	330.62	335.02
music	335.02	350.0
noEnergy	350.0	350.8
music	350.8	385.36
speech	385.36	388.32
noEnergy	388.32	389.86
music	389.86	394.42
noEnergy	394.42	394.92
music	394.92	406.36
noEnergy	406.36	407.02
music	407.02	412.02
noEnergy	412.02	412.54
music	412.54	430.12
noEnergy	430.12	431.36
speech	431.36	431.92
noEnergy	431.92	432.86
speech	432.86	434.74
music	434.74	439.22
speech	439.22	444.44
music	444.44	449.94
noEnergy	449.94	450.40000000000003
speech	450.40000000000003	454.34000000000003
noEnergy	454.34000000000003	454.92
speech	454.92	455.82
music	455.82	464.96000000000004
noEnergy	464.96000000000004	465.54
music	465.54	476.56
noEnergy	476.56	477.46000000000004
speech	477.46000000000004	484.14
noEnergy	484.14	484.6
speech	484.6	488.56
music	488.56	495.34000000000003
speech	495.34000000000003	497.38
noEnergy	497.38	497.94
speech	497.94	502.12
music	502.12	510.82
noEnergy	510.82	512.88
speech	512.88	514.64
music	514.64	517.52
noEnergy	517.52	518.54
