,AQ,GA,GF,GOI,GP,GSI,Music,S-Speech
AQ,1,0,0,0,1,5,24,26
GA,1,6,3,1,0,6,11,46
GF,1,2,20,0,14,10,88,69
GOI,0,1,1,6,2,3,36,25
GP,2,2,11,1,31,22,152,112
GSI,7,8,19,7,31,56,151,149
Music,18,21,96,34,168,181,395,190
S-Speech,25,34,53,25,86,149,240,116
