,その他,テクニック,演奏,音楽表現,楽曲,生徒
その他,6,3,9,3,0,24
テクニック,0,34,26,14,0,51
演奏,18,28,30,44,2,39
音楽表現,2,13,38,80,1,38
楽曲,0,0,4,2,3,1
生徒,17,49,52,30,4,26
