,AQ,GA,GF,GOI,GP,GSI,Music,S-Speech
AQ,3,2,3,0,3,8,32,36
GA,1,9,5,1,0,9,15,63
GF,3,5,53,1,33,19,110,113
GOI,1,1,5,9,4,5,43,33
GP,4,4,25,3,59,37,186,147
GSI,12,9,33,9,45,75,186,195
Music,27,29,126,41,204,219,435,241
S-Speech,31,44,88,37,118,199,304,150
