,AQ,GA,GF,GOI,GP,GSI,Music,S-Speech
AQ,1,0,0,0,1,2,19,11
GA,1,3,0,1,0,1,4,16
GF,1,0,4,0,4,2,73,10
GOI,0,0,1,3,1,2,31,8
GP,1,1,1,0,10,9,122,35
GSI,4,3,4,5,11,22,124,56
Music,12,8,68,26,130,138,333,111
S-Speech,12,12,15,11,22,54,118,14
