,その他,テクニック,Music,音楽表現,楽曲,S-Speech
その他,18,3,42,2,0,79
テクニック,3,54,110,8,0,110
Music,55,120,395,329,14,190
音楽表現,5,11,297,170,2,220
楽曲,0,1,11,2,2,18
S-Speech,62,96,242,196,16,116
