,AQ,GA,GF,GOI,GP,GSI,Music,S-Speech
AQ,2,2,3,0,2,3,8,10
GA,0,3,2,0,0,3,4,17
GF,2,3,33,1,19,9,22,44
GOI,1,0,4,3,2,2,7,8
GP,2,2,14,2,28,15,34,35
GSI,5,1,14,2,14,19,35,46
Music,9,8,30,7,36,38,40,51
S-Speech,6,10,35,12,32,50,64,34
